HomeTeam,AwayTeam,FTR
'West Ham',Swindon,D
Liverpool,Blackburn,A
Newcastle,'Sheffield Weds',H
Blackburn,'West Ham',A
Coventry,Chelsea,D
Everton,Liverpool,H
Ipswich,'Aston Villa',A
Leeds,'Sheffield United',H
QPR,Norwich,D
'Sheffield Weds',Southampton,H
Swindon,Newcastle,D
Tottenham,Oldham,H
'Man United',Arsenal,H
Wimbledon,'Man City',H
Arsenal,Southampton,H
Blackburn,'Sheffield Weds',D
Chelsea,Liverpool,H
Coventry,Leeds,A
Everton,Norwich,A
'Man United',Swindon,H
Newcastle,'West Ham',H
Oldham,'Aston Villa',D
'Sheffield United','Man City',A
Ipswich,Tottenham,D
Wimbledon,QPR,D
'Aston Villa',Newcastle,A
Leeds,Wimbledon,H
Liverpool,Arsenal,D
Norwich,Coventry,H
QPR,Ipswich,H
'Sheffield Weds','Man United',A
Southampton,'Sheffield United',D
Swindon,Blackburn,A
'West Ham',Chelsea,H
Tottenham,Everton,H
'Man City',Oldham,D
Arsenal,'Man City',D
Chelsea,Norwich,A
Coventry,Southampton,D
Liverpool,Oldham,H
'Man United',Tottenham,H
Newcastle,QPR,A
'Sheffield Weds',Wimbledon,D
Swindon,Everton,D
'West Ham','Aston Villa',D
Ipswich,Leeds,D
Blackburn,'Sheffield United',D
'Aston Villa',Chelsea,H
Everton,'Man United',A
Leeds,Blackburn,D
'Man City',Liverpool,D
Norwich,'West Ham',D
Oldham,Arsenal,D
QPR,Coventry,H
'Sheffield United','Sheffield Weds',D
Tottenham,Swindon,D
Southampton,Newcastle,H
Wimbledon,Ipswich,A
Arsenal,Norwich,D
Blackburn,Tottenham,H
Chelsea,Oldham,A
Ipswich,Everton,A
Liverpool,Southampton,H
'Man United',QPR,H
Newcastle,Wimbledon,H
'Sheffield Weds',Leeds,D
Swindon,'Aston Villa',A
Coventry,'Sheffield United',D
'West Ham','Man City',H
Arsenal,'Aston Villa',A
Coventry,Everton,H
Ipswich,'Sheffield Weds',A
Leeds,Chelsea,H
Liverpool,'West Ham',H
QPR,Blackburn,H
'Sheffield United',Norwich,A
Southampton,Tottenham,H
Wimbledon,Swindon,H
'Man City','Man United',A
Oldham,Newcastle,A
'Aston Villa','Sheffield United',H
Blackburn,Southampton,H
Chelsea,Arsenal,A
Everton,QPR,A
'Man United',Wimbledon,H
Norwich,'Man City',D
'Sheffield Weds',Coventry,D
Swindon,Ipswich,D
Tottenham,Leeds,D
'West Ham',Oldham,H
Newcastle,Liverpool,H
Chelsea,'Man City',D
Blackburn,Coventry,H
Everton,Leeds,D
'Aston Villa',Southampton,A
'Man United',Ipswich,D
Newcastle,'Sheffield United',H
'Sheffield Weds',Oldham,H
Swindon,QPR,H
Tottenham,Wimbledon,D
'West Ham',Arsenal,D
Arsenal,Newcastle,H
Coventry,'Man United',A
Ipswich,Blackburn,H
Leeds,Swindon,H
'Man City','Sheffield Weds',A
Oldham,Norwich,H
QPR,Tottenham,D
'Sheffield United',Chelsea,H
Wimbledon,Everton,D
Liverpool,'Aston Villa',H
Southampton,'West Ham',A
Coventry,Arsenal,H
Everton,Southampton,H
Ipswich,Oldham,D
Leeds,'Man City',H
'Man United',Norwich,D
QPR,'Aston Villa',D
'Sheffield Weds',Liverpool,H
Swindon,'Sheffield United',D
Tottenham,Newcastle,A
Wimbledon,'West Ham',A
Blackburn,Chelsea,H
Arsenal,Tottenham,D
Oldham,Swindon,H
'Sheffield United','Man United',A
'Aston Villa','Sheffield Weds',D
Liverpool,QPR,H
'Man City',Everton,H
Southampton,Ipswich,A
'West Ham',Leeds,A
'Aston Villa',Wimbledon,A
Chelsea,Ipswich,D
Liverpool,Swindon,D
'Man City',Tottenham,A
Newcastle,'Man United',D
Oldham,Blackburn,A
'Sheffield United',Everton,D
Southampton,QPR,A
'West Ham',Coventry,H
Arsenal,'Sheffield Weds',H
Norwich,Leeds,H
Blackburn,'Man City',H
Coventry,Oldham,D
Everton,Newcastle,A
Ipswich,Norwich,H
Leeds,Arsenal,H
'Sheffield Weds','West Ham',H
Swindon,Southampton,H
Tottenham,Liverpool,D
Wimbledon,'Sheffield United',H
'Man United','Aston Villa',H
Newcastle,Leeds,D
'Man United',Blackburn,D
'Sheffield United',Liverpool,D
Wimbledon,Coventry,A
Everton,'Sheffield Weds',A
Ipswich,'West Ham',D
QPR,Oldham,H
Southampton,Chelsea,H
Swindon,Arsenal,A
Tottenham,Norwich,A
Chelsea,Newcastle,H
Liverpool,Wimbledon,D
'Man City',Southampton,D
'West Ham',Tottenham,A
Arsenal,'Sheffield United',H
Blackburn,Everton,H
Leeds,QPR,D
Norwich,'Aston Villa',A
Oldham,'Man United',A
'Sheffield Weds',Swindon,D
'Aston Villa',Blackburn,A
Everton,'West Ham',A
Ipswich,Liverpool,A
'Man United',Leeds,D
Newcastle,'Man City',H
QPR,'Sheffield Weds',A
'Sheffield United',Oldham,H
Southampton,Norwich,A
Swindon,Chelsea,A
Tottenham,Coventry,A
Wimbledon,Arsenal,A
Arsenal,QPR,D
Chelsea,Everton,H
Coventry,Swindon,D
'Sheffield Weds',Tottenham,H
'West Ham','Sheffield United',D
Liverpool,'Man United',D
Norwich,Newcastle,A
'Aston Villa','West Ham',H
Everton,Swindon,H
Leeds,Ipswich,D
'Man City',Arsenal,D
Norwich,Chelsea,D
Oldham,Liverpool,A
'Sheffield United',Blackburn,A
Southampton,Coventry,H
Tottenham,'Man United',A
Wimbledon,'Sheffield Weds',H
QPR,Newcastle,A
Arsenal,Oldham,D
Chelsea,'Aston Villa',D
Coventry,QPR,A
Ipswich,Wimbledon,D
Liverpool,'Man City',H
'Man United',Everton,H
Newcastle,Southampton,A
'Sheffield Weds','Sheffield United',H
Swindon,Tottenham,H
Blackburn,Leeds,H
'West Ham',Norwich,D
Coventry,Ipswich,H
Blackburn,Wimbledon,H
Everton,Chelsea,H
'Man City',Ipswich,H
Norwich,Liverpool,D
Oldham,Southampton,H
QPR,'Man United',A
Swindon,Coventry,H
Tottenham,'Sheffield Weds',A
'Aston Villa',Leeds,H
'Aston Villa',Swindon,H
Everton,Ipswich,D
'Man City','West Ham',D
Oldham,Chelsea,H
'Sheffield United',Coventry,D
Tottenham,Blackburn,A
Wimbledon,Newcastle,H
Norwich,Arsenal,D
Southampton,Liverpool,H
Blackburn,Newcastle,H
Coventry,'Man City',H
Everton,Arsenal,D
Leeds,Liverpool,H
Swindon,Norwich,D
'Aston Villa','Man City',D
Norwich,Blackburn,D
Newcastle,Coventry,H
Arsenal,Blackburn,H
Ipswich,'Sheffield United',H
Liverpool,Coventry,H
'Man City',Swindon,H
Norwich,'Sheffield Weds',D
Southampton,Wimbledon,H
'West Ham','Man United',D
Chelsea,Tottenham,H
Oldham,Leeds,D
Tottenham,'Aston Villa',D
Blackburn,Liverpool,H
Everton,Oldham,H
Ipswich,Arsenal,A
Leeds,Southampton,D
'Man United',Chelsea,A
QPR,'Man City',D
'Sheffield Weds',Newcastle,A
Swindon,'West Ham',D
Tottenham,'Sheffield United',D
Wimbledon,Norwich,H
Coventry,'Aston Villa',A
'Aston Villa',Ipswich,A
'Man City',Wimbledon,A
Newcastle,Swindon,H
Norwich,QPR,A
Southampton,'Sheffield Weds',D
Liverpool,Everton,H
'Sheffield United',Leeds,D
Chelsea,Wimbledon,H
Leeds,'Aston Villa',H
'Man United','Sheffield Weds',H
'Sheffield United',QPR,D
'Aston Villa',Oldham,A
Leeds,Coventry,H
Liverpool,Chelsea,H
'Man City','Sheffield United',D
QPR,Wimbledon,H
Southampton,Arsenal,A
Swindon,'Man United',D
Tottenham,Ipswich,D
'West Ham',Newcastle,A
'Sheffield Weds',Blackburn,A
Norwich,Everton,H
Arsenal,'Man United',D
Newcastle,Ipswich,H
Arsenal,Liverpool,H
Blackburn,Swindon,H
Chelsea,'West Ham',H
Coventry,Norwich,H
Everton,Tottenham,A
Ipswich,QPR,A
Oldham,'Man City',D
'Sheffield United',Southampton,D
Wimbledon,Leeds,H
'Sheffield United','West Ham',H
Ipswich,'Man City',D
Newcastle,Norwich,H
Wimbledon,Blackburn,H
'Aston Villa',Everton,D
'Man United',Liverpool,H
'Sheffield Weds',Chelsea,H
Southampton,Oldham,A
Leeds,Newcastle,D
Arsenal,Swindon,D
Blackburn,'Man United',H
Chelsea,Southampton,H
Coventry,Wimbledon,A
Liverpool,'Sheffield United',A
'Man City','Aston Villa',H
Norwich,Tottenham,A
Oldham,QPR,H
'Sheffield Weds',Everton,H
'West Ham',Ipswich,H
'Aston Villa',Norwich,D
Everton,Blackburn,A
Ipswich,Coventry,A
'Man United',Oldham,H
Newcastle,Chelsea,D
QPR,Leeds,A
'Sheffield United',Arsenal,D
Southampton,'Man City',A
Swindon,'Sheffield Weds',A
Tottenham,'West Ham',A
Wimbledon,Liverpool,D
Coventry,Tottenham,H
Liverpool,Ipswich,H
'Man City',Newcastle,H
Norwich,Southampton,A
'Sheffield Weds',QPR,H
'West Ham',Everton,A
Blackburn,'Aston Villa',H
QPR,Chelsea,D
Arsenal,Chelsea,H
Coventry,'Sheffield Weds',D
Ipswich,Swindon,D
Liverpool,Newcastle,A
'Man City',Norwich,D
Oldham,'West Ham',A
QPR,Everton,H
'Sheffield United','Aston Villa',A
Southampton,Blackburn,H
Wimbledon,'Man United',H
Leeds,Tottenham,H
Arsenal,Wimbledon,D
'Aston Villa',Arsenal,A
Chelsea,Leeds,D
Everton,Coventry,D
'Man United','Man City',H
Newcastle,Oldham,H
Norwich,'Sheffield United',A
'Sheffield Weds',Ipswich,H
Swindon,Wimbledon,A
Tottenham,Southampton,H
'West Ham',Liverpool,A
Blackburn,QPR,D
Wimbledon,Oldham,H
Chelsea,Swindon,H
Leeds,'Man United',A
Newcastle,'Aston Villa',H
QPR,Arsenal,D
'West Ham',Blackburn,A
Arsenal,'West Ham',A
Leeds,Everton,H
Liverpool,Norwich,A
'Man City',Chelsea,D
Oldham,'Sheffield Weds',D
QPR,Swindon,A
'Sheffield United',Newcastle,H
Southampton,'Aston Villa',H
Wimbledon,Tottenham,H
Ipswich,'Man United',A
Coventry,Blackburn,H
Leeds,'Sheffield Weds',D
Oldham,'Sheffield United',D
QPR,'West Ham',D
Chelsea,Coventry,A
'Man United',Southampton,H
Oldham,Tottenham,A
'Aston Villa',Liverpool,H
Blackburn,Ipswich,D
Chelsea,'Sheffield United',H
Everton,Wimbledon,H
Newcastle,Arsenal,H
Norwich,Oldham,D
'Sheffield Weds','Man City',D
Swindon,Leeds,A
Tottenham,QPR,A
'West Ham',Southampton,D
'Man United',Coventry,D
Arsenal,'Man City',H
Chelsea,Norwich,H
Coventry,Wimbledon,D
'Crystal Palace',Liverpool,A
Everton,'Aston Villa',D
Ipswich,'Nottm Forest',A
'Man United',QPR,H
'Sheffield Weds',Tottenham,A
Southampton,Blackburn,D
'West Ham',Leeds,D
Leicester,Newcastle,A
'Nottm Forest','Man United',D
Blackburn,Leicester,H
Leeds,Arsenal,H
Wimbledon,Ipswich,D
'Aston Villa',Southampton,D
'Man City','West Ham',H
Newcastle,Coventry,H
Norwich,'Crystal Palace',D
QPR,'Sheffield Weds',H
Tottenham,Everton,H
'Aston Villa','Crystal Palace',D
Blackburn,Coventry,H
Leeds,Chelsea,A
'Man City',Everton,H
Newcastle,Southampton,H
Norwich,'West Ham',H
'Nottm Forest',Leicester,H
QPR,Ipswich,A
Tottenham,'Man United',A
Wimbledon,'Sheffield Weds',A
Liverpool,Arsenal,H
Coventry,'Aston Villa',A
'Crystal Palace',Leeds,A
Everton,'Nottm Forest',A
Ipswich,Tottenham,A
Arsenal,Blackburn,D
Chelsea,'Man City',H
Leicester,QPR,D
'Man United',Wimbledon,H
'Sheffield Weds',Norwich,D
Southampton,Liverpool,A
'West Ham',Newcastle,A
'Aston Villa',Ipswich,H
Blackburn,Everton,H
Liverpool,'West Ham',D
'Man City','Crystal Palace',D
Newcastle,Chelsea,H
Norwich,Arsenal,D
'Nottm Forest','Sheffield Weds',H
QPR,Coventry,D
Wimbledon,Leicester,H
Leeds,'Man United',H
Tottenham,Southampton,A
Coventry,Leeds,H
'Crystal Palace',Wimbledon,D
Everton,QPR,D
Leicester,Tottenham,H
'Man United',Liverpool,H
'Sheffield Weds','Man City',D
Southampton,'Nottm Forest',D
'West Ham','Aston Villa',H
Arsenal,Newcastle,A
Chelsea,Blackburn,A
Ipswich,Norwich,A
Blackburn,'Aston Villa',H
Coventry,Southampton,A
'Crystal Palace',Chelsea,A
Everton,Leicester,D
Ipswich,'Man United',H
'Man City',Norwich,H
Newcastle,Liverpool,D
QPR,Wimbledon,A
Tottenham,'Nottm Forest',A
'West Ham',Arsenal,A
'Sheffield Weds',Leeds,D
Arsenal,'Crystal Palace',A
'Aston Villa',Newcastle,A
Leeds,'Man City',H
Liverpool,'Sheffield Weds',H
'Man United',Everton,H
Norwich,Blackburn,H
Southampton,Ipswich,H
Wimbledon,Tottenham,A
Chelsea,'West Ham',A
'Nottm Forest',QPR,H
Leicester,Coventry,D
Chelsea,Leicester,H
Liverpool,'Aston Villa',H
'Man City','Nottm Forest',D
Norwich,Leeds,H
'Sheffield Weds','Man United',H
Southampton,Everton,H
Tottenham,QPR,D
'West Ham','Crystal Palace',H
Wimbledon,Arsenal,A
Newcastle,Blackburn,D
Coventry,Ipswich,H
Arsenal,Chelsea,H
'Aston Villa',Norwich,D
Blackburn,Liverpool,H
'Crystal Palace',Newcastle,A
Everton,Coventry,A
Leeds,Tottenham,D
Leicester,Southampton,H
'Man United','West Ham',H
QPR,'Man City',A
Ipswich,'Sheffield Weds',A
'Nottm Forest',Wimbledon,H
'Aston Villa','Nottm Forest',A
'Crystal Palace',Everton,H
Liverpool,Wimbledon,H
'Man City',Tottenham,H
Newcastle,'Sheffield Weds',H
Norwich,QPR,H
'West Ham',Southampton,H
Arsenal,Coventry,H
Blackburn,'Man United',A
Chelsea,Ipswich,H
Leeds,Leicester,H
Coventry,'Man City',H
Everton,Arsenal,D
Ipswich,Liverpool,A
Leicester,'Crystal Palace',A
'Man United',Newcastle,H
'Nottm Forest',Blackburn,A
QPR,'Aston Villa',H
'Sheffield Weds',Chelsea,D
Southampton,Leeds,A
Tottenham,'West Ham',H
Wimbledon,Norwich,H
QPR,Liverpool,H
Everton,'West Ham',H
Ipswich,Leeds,H
Coventry,'Crystal Palace',A
'Sheffield Weds',Blackburn,A
Southampton,Norwich,D
Blackburn,Tottenham,H
'Crystal Palace',Ipswich,H
Leeds,Wimbledon,H
Liverpool,'Nottm Forest',H
'Man City',Southampton,D
Newcastle,QPR,H
Norwich,Everton,D
'West Ham',Leicester,H
Arsenal,'Sheffield Weds',D
'Aston Villa','Man United',A
Chelsea,Coventry,D
'Nottm Forest',Newcastle,D
Liverpool,Chelsea,H
Wimbledon,'Aston Villa',H
'Man United','Man City',H
Coventry,Norwich,H
Ipswich,Blackburn,A
'Man United','Crystal Palace',H
'Nottm Forest',Chelsea,A
QPR,Leeds,H
'Sheffield Weds','West Ham',H
Southampton,Arsenal,H
Tottenham,'Aston Villa',A
Wimbledon,Newcastle,H
Leicester,'Man City',A
Everton,Liverpool,H
Leicester,Arsenal,H
Tottenham,Chelsea,D
Arsenal,'Man United',D
Blackburn,QPR,H
Chelsea,Everton,A
'Crystal Palace',Southampton,D
Leeds,'Nottm Forest',H
Liverpool,Tottenham,D
'Man City',Wimbledon,H
Newcastle,Ipswich,D
Norwich,Leicester,H
'West Ham',Coventry,A
'Aston Villa','Sheffield Weds',D
Coventry,Liverpool,D
Ipswich,'Man City',A
Leicester,'Aston Villa',D
'Man United',Norwich,H
'Nottm Forest',Arsenal,D
'Sheffield Weds','Crystal Palace',H
Southampton,Chelsea,A
Tottenham,Newcastle,H
Wimbledon,Blackburn,A
Everton,Leeds,H
QPR,'West Ham',H
'Aston Villa',Everton,D
Blackburn,Southampton,H
Leeds,'West Ham',D
Newcastle,Leicester,H
Norwich,Chelsea,H
'Nottm Forest',Ipswich,H
QPR,'Man United',A
Tottenham,'Sheffield Weds',H
Wimbledon,Coventry,H
Liverpool,'Crystal Palace',D
'Man City',Arsenal,A
Ipswich,Wimbledon,D
Arsenal,Leeds,A
Coventry,Newcastle,D
'Crystal Palace',Norwich,A
Everton,Tottenham,D
Leicester,Blackburn,D
'Man United','Nottm Forest',A
'Sheffield Weds',QPR,A
'West Ham','Man City',H
Chelsea,Liverpool,D
Southampton,'Aston Villa',H
Arsenal,'Aston Villa',D
Chelsea,'Man United',A
Coventry,'Nottm Forest',D
'Crystal Palace',QPR,D
Everton,'Sheffield Weds',A
Leeds,Newcastle,D
Leicester,Liverpool,A
'Man City',Blackburn,A
Norwich,Tottenham,A
Southampton,Wimbledon,A
'West Ham',Ipswich,D
'Nottm Forest',Norwich,H
Tottenham,'Crystal Palace',D
'Aston Villa',Chelsea,H
Ipswich,Arsenal,A
Liverpool,'Man City',H
'Man United',Leicester,D
QPR,Southampton,D
'Sheffield Weds',Coventry,H
Wimbledon,'West Ham',H
Arsenal,QPR,A
Chelsea,Wimbledon,D
Coventry,Tottenham,A
'Crystal Palace',Blackburn,A
Everton,Ipswich,H
Leeds,Liverpool,A
Leicester,'Sheffield Weds',A
'Man City','Aston Villa',D
Norwich,Newcastle,H
Southampton,'Man United',D
'West Ham','Nottm Forest',H
'Aston Villa',Leeds,D
Blackburn,'West Ham',H
Ipswich,Leicester,H
Liverpool,Norwich,H
Newcastle,'Man City',D
'Nottm Forest','Crystal Palace',H
'Sheffield Weds',Southampton,D
Tottenham,Arsenal,H
Wimbledon,Everton,H
'Man United',Coventry,H
Arsenal,Everton,D
'Aston Villa',QPR,H
Blackburn,'Nottm Forest',H
Chelsea,'Sheffield Weds',D
'Crystal Palace',Leicester,H
Leeds,Southampton,D
Liverpool,Ipswich,A
'Man City',Coventry,D
Norwich,Wimbledon,A
'West Ham',Tottenham,A
Newcastle,'Man United',D
Coventry,Arsenal,A
Everton,'Crystal Palace',H
Ipswich,Chelsea,D
'Nottm Forest','Aston Villa',A
'Sheffield Weds',Newcastle,D
'Man United',Blackburn,H
'West Ham','Sheffield Weds',A
Arsenal,Southampton,D
Leeds,QPR,H
Liverpool,Everton,D
'Aston Villa',Tottenham,H
Chelsea,'Nottm Forest',A
'Crystal Palace','Man United',D
'Man City',Leicester,A
Newcastle,Wimbledon,H
Norwich,Coventry,D
Blackburn,Ipswich,H
Blackburn,Leeds,D
Newcastle,Everton,H
Coventry,Chelsea,D
Everton,Norwich,H
Ipswich,'Crystal Palace',A
Leicester,'West Ham',A
'Man United','Aston Villa',H
'Nottm Forest',Liverpool,D
QPR,Newcastle,H
'Sheffield Weds',Arsenal,H
Southampton,'Man City',D
Wimbledon,Leeds,D
Tottenham,Blackburn,H
Arsenal,Leicester,D
'Aston Villa',Wimbledon,H
Chelsea,Tottenham,D
'Crystal Palace',Coventry,A
Liverpool,QPR,D
'Man City','Man United',A
Newcastle,'Nottm Forest',H
Norwich,Southampton,D
Blackburn,'Sheffield Weds',H
'West Ham',Everton,D
Coventry,'West Ham',H
'Sheffield Weds','Aston Villa',A
Arsenal,'Nottm Forest',H
'Aston Villa',Leicester,D
Blackburn,Wimbledon,H
Leeds,Everton,H
'Man City',Ipswich,H
Norwich,'Man United',A
Blackburn,Norwich,D
Coventry,Leicester,H
'Crystal Palace',Arsenal,A
Everton,'Man United',H
Ipswich,Southampton,H
'Man City',Leeds,D
Newcastle,'Aston Villa',H
'Sheffield Weds',Liverpool,A
Tottenham,Wimbledon,A
'West Ham',Chelsea,A
QPR,'Nottm Forest',D
Ipswich,Newcastle,A
'Aston Villa',Blackburn,A
Leeds,'Sheffield Weds',A
Leicester,Everton,D
Liverpool,Newcastle,H
'Man United',Ipswich,H
Norwich,'Man City',D
'Nottm Forest',Tottenham,D
Southampton,Coventry,D
Wimbledon,QPR,A
Arsenal,'West Ham',A
Chelsea,'Crystal Palace',D
'Aston Villa',Coventry,D
Wimbledon,'Man United',A
Blackburn,Arsenal,H
'Man City',Chelsea,A
Newcastle,'West Ham',H
Norwich,'Sheffield Weds',D
'Nottm Forest',Everton,H
QPR,Leicester,H
Tottenham,Ipswich,H
Chelsea,Leeds,A
Coventry,Blackburn,D
Leicester,'Nottm Forest',A
'Sheffield Weds',Wimbledon,A
'West Ham',Norwich,D
'Crystal Palace','Sheffield Weds',H
Liverpool,Coventry,A
Everton,'Man City',D
Leicester,Leeds,A
'Man United',Tottenham,D
QPR,Norwich,H
Southampton,'West Ham',D
'Aston Villa','West Ham',A
Blackburn,Chelsea,H
Leeds,Coventry,H
'Man City','Sheffield Weds',H
'Nottm Forest',Southampton,H
QPR,Everton,A
Tottenham,Leicester,H
Wimbledon,'Crystal Palace',H
Liverpool,'Man United',H
Newcastle,Arsenal,H
Norwich,Ipswich,H
Wimbledon,'Man City',H
'Man United',Arsenal,H
'Nottm Forest',Leeds,H
QPR,Chelsea,H
Southampton,Newcastle,H
Tottenham,Liverpool,D
Arsenal,Norwich,H
Chelsea,Newcastle,D
Coventry,QPR,A
'Crystal Palace','Man City',H
Everton,Blackburn,A
Ipswich,'Aston Villa',A
Leicester,Wimbledon,A
'Sheffield Weds','Nottm Forest',A
'Man United',Leeds,D
Southampton,Tottenham,H
'Crystal Palace','Aston Villa',D
QPR,Blackburn,A
Leeds,Ipswich,H
Leicester,Norwich,H
Liverpool,Southampton,H
Newcastle,Norwich,H
'Nottm Forest','West Ham',D
QPR,Arsenal,H
'Sheffield Weds',Leicester,H
Liverpool,Leeds,A
Wimbledon,Chelsea,D
Ipswich,QPR,A
Tottenham,'Man City',H
Arsenal,Liverpool,A
Chelsea,Southampton,A
Norwich,'Nottm Forest',A
'West Ham',Wimbledon,H
'Crystal Palace',Tottenham,D
Everton,Newcastle,H
'Man City',Liverpool,H
Arsenal,Ipswich,H
Chelsea,'Aston Villa',H
Coventry,'Sheffield Weds',H
Leeds,Blackburn,D
Leicester,'Man United',A
Southampton,QPR,H
'Aston Villa',Arsenal,A
Blackburn,'Man City',A
Ipswich,'West Ham',D
Liverpool,Leicester,H
'Man United',Chelsea,D
Newcastle,Leeds,A
'Nottm Forest',Coventry,H
QPR,'Crystal Palace',A
'Sheffield Weds',Everton,D
Tottenham,Norwich,H
Wimbledon,Southampton,A
Blackburn,'Crystal Palace',H
Arsenal,Tottenham,D
Chelsea,QPR,H
'Crystal Palace','Nottm Forest',A
Everton,Wimbledon,D
Leeds,'Aston Villa',H
Leicester,Ipswich,H
'Man City',Newcastle,D
Norwich,Liverpool,A
Southampton,'Sheffield Weds',D
'West Ham',Blackburn,H
Coventry,'Man United',A
Wimbledon,Liverpool,D
'Aston Villa','Man City',D
Everton,Chelsea,D
Newcastle,Tottenham,D
Southampton,'Crystal Palace',H
'West Ham',QPR,D
Arsenal,Wimbledon,D
'Aston Villa',Liverpool,H
'Crystal Palace','West Ham',H
Everton,Southampton,D
Ipswich,Coventry,H
Leeds,Norwich,H
Leicester,Chelsea,D
'Nottm Forest','Man City',H
QPR,Tottenham,H
'Man United','Sheffield Weds',H
Blackburn,Newcastle,H
Ipswich,Everton,A
Leeds,'Crystal Palace',H
Tottenham,Coventry,A
'Man United',Southampton,H
'West Ham',Liverpool,H
Wimbledon,'Nottm Forest',D
Chelsea,Arsenal,H
Coventry,Everton,D
Liverpool,Blackburn,H
'Man City',QPR,A
Newcastle,'Crystal Palace',H
Norwich,'Aston Villa',D
'Sheffield Weds',Ipswich,H
Southampton,Leicester,D
Tottenham,Leeds,D
'West Ham','Man United',D
'Aston Villa','Man United',H
Blackburn,QPR,H
Chelsea,Everton,D
Liverpool,'Sheffield Weds',H
'Man City',Tottenham,D
Newcastle,Coventry,H
Southampton,'Nottm Forest',A
'West Ham',Leeds,A
Wimbledon,Bolton,H
Arsenal,Middlesbrough,D
Leeds,Liverpool,H
Bolton,Newcastle,A
Coventry,'Man City',H
Everton,Arsenal,A
'Man United','West Ham',H
'Nottm Forest',Chelsea,D
QPR,Wimbledon,A
'Sheffield Weds',Blackburn,H
Tottenham,'Aston Villa',A
Bolton,Blackburn,H
Coventry,Arsenal,D
Everton,Southampton,H
Leeds,'Aston Villa',H
'Man United',Wimbledon,H
Middlesbrough,Chelsea,H
'Nottm Forest','West Ham',D
QPR,'Man City',H
Tottenham,Liverpool,A
'Sheffield Weds',Newcastle,A
Blackburn,'Man United',A
Arsenal,'Nottm Forest',D
'Aston Villa',Bolton,H
Chelsea,Coventry,D
Liverpool,QPR,H
'Man City',Everton,A
Newcastle,Middlesbrough,H
Southampton,Leeds,D
'West Ham',Tottenham,D
Wimbledon,'Sheffield Weds',D
Blackburn,'Aston Villa',D
Bolton,Middlesbrough,D
Coventry,'Nottm Forest',D
Everton,'Man United',A
QPR,'Sheffield Weds',A
Southampton,Newcastle,H
Tottenham,Leeds,H
Wimbledon,Liverpool,H
'Man City',Arsenal,A
'West Ham',Chelsea,A
Middlesbrough,Southampton,D
Arsenal,'West Ham',H
'Aston Villa',Wimbledon,H
Chelsea,Southampton,H
Leeds,QPR,A
Liverpool,Blackburn,H
'Man United',Bolton,H
Middlesbrough,Coventry,H
Newcastle,'Man City',H
'Sheffield Weds',Tottenham,A
'Nottm Forest',Everton,H
Arsenal,Southampton,H
'Aston Villa','Nottm Forest',D
Blackburn,Coventry,H
Liverpool,Bolton,H
'Man City',Middlesbrough,A
'Sheffield Weds','Man United',D
'West Ham',Everton,H
Wimbledon,Leeds,A
Newcastle,Chelsea,H
QPR,Tottenham,A
Bolton,QPR,A
Chelsea,Arsenal,H
Coventry,'Aston Villa',A
Leeds,'Sheffield Weds',H
Middlesbrough,Blackburn,H
'Nottm Forest','Man City',H
Tottenham,Wimbledon,H
Everton,Newcastle,A
'Man United',Liverpool,D
Southampton,'West Ham',D
